argv[0]=
argv[0]=
pybullet build time: Nov 28 2023 23:52:03
global_step=1000, episodic_return=-1461.757568359375
global_step=2000, episodic_return=-1668.665771484375
SPS: 58
global_step=3000, episodic_return=-1522.7821044921875
global_step=4000, episodic_return=-1507.4676513671875
SPS: 110
global_step=5000, episodic_return=-1313.64404296875
global_step=6000, episodic_return=-1408.67822265625
SPS: 155
global_step=7000, episodic_return=-1433.2799072265625
global_step=8000, episodic_return=-1452.9212646484375
SPS: 182
global_step=9000, episodic_return=-1234.5743408203125
global_step=10000, episodic_return=-1160.217041015625
SPS: 171
global_step=11000, episodic_return=-1277.6512451171875
global_step=12000, episodic_return=-1184.618896484375
SPS: 197
global_step=13000, episodic_return=-1090.24853515625
global_step=14000, episodic_return=-1273.39599609375
SPS: 222
global_step=15000, episodic_return=-1076.7957763671875
global_step=16000, episodic_return=-1009.8435668945312
SPS: 245
global_step=17000, episodic_return=-1068.773193359375
global_step=18000, episodic_return=-1123.53466796875
SPS: 267
global_step=19000, episodic_return=-1024.8443603515625
global_step=20000, episodic_return=-997.3621215820312
SPS: 287
global_step=21000, episodic_return=-1058.0125732421875
global_step=22000, episodic_return=-944.3030395507812
SPS: 306
global_step=23000, episodic_return=-1278.8670654296875
global_step=24000, episodic_return=-734.1734008789062
SPS: 324
global_step=25000, episodic_return=-977.9653930664062
global_step=26000, episodic_return=-780.2537841796875
SPS: 341
global_step=27000, episodic_return=-1134.886474609375
global_step=28000, episodic_return=-800.75390625
SPS: 296
global_step=29000, episodic_return=-821.0789184570312
global_step=30000, episodic_return=-866.6494140625
SPS: 310
global_step=31000, episodic_return=-940.8440551757812
global_step=32000, episodic_return=-636.3322143554688
SPS: 324
global_step=33000, episodic_return=-947.2263793945312
global_step=34000, episodic_return=-589.6556396484375
SPS: 336
global_step=35000, episodic_return=-746.044189453125
global_step=36000, episodic_return=-795.1451416015625
SPS: 348
global_step=37000, episodic_return=-1268.7471923828125
global_step=38000, episodic_return=-922.9193725585938
SPS: 360
global_step=39000, episodic_return=-712.679443359375
global_step=40000, episodic_return=-795.8890380859375
SPS: 371
global_step=41000, episodic_return=-832.2178955078125
global_step=42000, episodic_return=-564.8507690429688
global_step=43000, episodic_return=-872.8424072265625
SPS: 382
global_step=44000, episodic_return=-655.6255493164062
global_step=45000, episodic_return=-717.2462158203125
SPS: 392
global_step=46000, episodic_return=-773.4898681640625
global_step=47000, episodic_return=-544.3267822265625
SPS: 402
global_step=48000, episodic_return=-671.76416015625
global_step=49000, episodic_return=-493.1092834472656
SPS: 411
global_step=50000, episodic_return=-556.0409545898438
global_step=51000, episodic_return=-1276.91796875
SPS: 420
global_step=52000, episodic_return=-567.8017578125
global_step=53000, episodic_return=-670.1973266601562
SPS: 429
global_step=54000, episodic_return=-404.6938781738281
global_step=55000, episodic_return=-516.9095458984375
SPS: 438
global_step=56000, episodic_return=-542.2188110351562
global_step=57000, episodic_return=-1318.6116943359375
SPS: 446
global_step=58000, episodic_return=-488.732177734375
global_step=59000, episodic_return=-608.36474609375
SPS: 454
global_step=60000, episodic_return=-1326.3128662109375
global_step=61000, episodic_return=-553.7313842773438
SPS: 461
global_step=62000, episodic_return=-1271.0667724609375
global_step=63000, episodic_return=-545.33251953125
SPS: 468
global_step=64000, episodic_return=-1033.6622314453125
global_step=65000, episodic_return=-434.3734130859375
SPS: 426
global_step=66000, episodic_return=-389.9603576660156
global_step=67000, episodic_return=-514.4426879882812
SPS: 433
global_step=68000, episodic_return=-527.7997436523438
global_step=69000, episodic_return=-422.8730163574219
SPS: 439
global_step=70000, episodic_return=-1056.816650390625
global_step=71000, episodic_return=-405.3476867675781
SPS: 446
global_step=72000, episodic_return=-319.9734191894531
global_step=73000, episodic_return=-433.5433349609375
SPS: 452
global_step=74000, episodic_return=-463.7157897949219
global_step=75000, episodic_return=-1100.169677734375
SPS: 458
global_step=76000, episodic_return=-443.9556579589844
global_step=77000, episodic_return=-975.9403686523438
SPS: 464
global_step=78000, episodic_return=-1100.8138427734375
global_step=79000, episodic_return=-408.9570007324219
SPS: 470
global_step=80000, episodic_return=-338.6944885253906
global_step=81000, episodic_return=-495.0167236328125
SPS: 476
global_step=82000, episodic_return=-442.13104248046875
global_step=83000, episodic_return=-319.8688049316406
SPS: 481
global_step=84000, episodic_return=-507.224609375
global_step=85000, episodic_return=-352.0101013183594
global_step=86000, episodic_return=-309.7874755859375
SPS: 487
global_step=87000, episodic_return=-887.606689453125
global_step=88000, episodic_return=-438.9535827636719
SPS: 492
global_step=89000, episodic_return=-450.6468505859375
global_step=90000, episodic_return=-991.0267944335938
SPS: 497
global_step=91000, episodic_return=-282.3903503417969
global_step=92000, episodic_return=-945.3297119140625
SPS: 502
global_step=93000, episodic_return=-386.0135498046875
global_step=94000, episodic_return=-391.3299255371094
SPS: 507
global_step=95000, episodic_return=-279.77899169921875
global_step=96000, episodic_return=-1239.1341552734375
SPS: 512
global_step=97000, episodic_return=-927.796142578125
global_step=98000, episodic_return=-406.79217529296875
SPS: 517
global_step=99000, episodic_return=-219.25387573242188
global_step=100000, episodic_return=-1027.6473388671875
SPS: 521
global_step=101000, episodic_return=-546.0999145507812
global_step=102000, episodic_return=-598.9695434570312
SPS: 526
global_step=103000, episodic_return=-754.9898681640625
global_step=104000, episodic_return=-361.6746826171875
SPS: 530
global_step=105000, episodic_return=-303.8490905761719
global_step=106000, episodic_return=-326.9693603515625
SPS: 534
global_step=107000, episodic_return=-695.1851196289062
global_step=108000, episodic_return=-1037.2633056640625
SPS: 539
global_step=109000, episodic_return=-294.18426513671875
global_step=110000, episodic_return=-872.3243408203125
SPS: 543
global_step=111000, episodic_return=-691.916748046875
global_step=112000, episodic_return=-1030.81982421875
SPS: 547
global_step=113000, episodic_return=-259.8495178222656
global_step=114000, episodic_return=-226.25755310058594
SPS: 551
global_step=115000, episodic_return=-647.7745971679688
global_step=116000, episodic_return=-906.970947265625
SPS: 554
global_step=117000, episodic_return=-184.39329528808594
global_step=118000, episodic_return=-1051.968017578125
SPS: 558
global_step=119000, episodic_return=-146.2383270263672
global_step=120000, episodic_return=-155.65267944335938
SPS: 562
global_step=121000, episodic_return=-684.1527099609375
global_step=122000, episodic_return=-85.23333740234375
SPS: 565
global_step=123000, episodic_return=-959.0825805664062
global_step=124000, episodic_return=-239.9423828125
SPS: 569
global_step=125000, episodic_return=-60.00358200073242
global_step=126000, episodic_return=-211.13194274902344
SPS: 533
global_step=127000, episodic_return=-753.34423828125
global_step=128000, episodic_return=-1181.8284912109375
global_step=129000, episodic_return=-1034.8927001953125
SPS: 536
global_step=130000, episodic_return=-1092.6494140625
global_step=131000, episodic_return=-71.7184829711914
SPS: 540
global_step=132000, episodic_return=-870.0762939453125
global_step=133000, episodic_return=-101.16930389404297
SPS: 543
global_step=134000, episodic_return=-985.9296264648438
global_step=135000, episodic_return=-24.014989852905273
SPS: 547
global_step=136000, episodic_return=26.797176361083984
global_step=137000, episodic_return=-664.389892578125
SPS: 550
global_step=138000, episodic_return=-890.138427734375
global_step=139000, episodic_return=-915.9378662109375
SPS: 553
global_step=140000, episodic_return=-721.356201171875
global_step=141000, episodic_return=-66.07585144042969
SPS: 556
global_step=142000, episodic_return=-100.35015106201172
global_step=143000, episodic_return=-645.17236328125
SPS: 559
global_step=144000, episodic_return=-524.3043823242188
global_step=145000, episodic_return=-138.63421630859375
SPS: 563
global_step=146000, episodic_return=-648.2880249023438
global_step=147000, episodic_return=-591.5531005859375
SPS: 566
global_step=148000, episodic_return=-568.5307006835938
global_step=149000, episodic_return=-246.57113647460938
SPS: 569
global_step=150000, episodic_return=-807.5973510742188
global_step=151000, episodic_return=-561.8045654296875
SPS: 572
global_step=152000, episodic_return=-573.3211059570312
global_step=153000, episodic_return=-517.4744262695312
SPS: 574
global_step=154000, episodic_return=28.466238021850586
global_step=155000, episodic_return=-439.5308532714844
SPS: 577
global_step=156000, episodic_return=-517.2598266601562
global_step=157000, episodic_return=-480.17193603515625
SPS: 580
global_step=158000, episodic_return=-357.8165283203125
global_step=159000, episodic_return=-427.3182373046875
SPS: 583
global_step=160000, episodic_return=-499.83544921875
global_step=161000, episodic_return=-472.7288818359375
SPS: 585
global_step=162000, episodic_return=-117.80860137939453
global_step=163000, episodic_return=58.61639404296875
SPS: 588
global_step=164000, episodic_return=10.85782241821289
global_step=165000, episodic_return=-75.36702728271484
SPS: 591
global_step=166000, episodic_return=-1.8884140253067017
global_step=167000, episodic_return=37.15848159790039
SPS: 594
global_step=168000, episodic_return=-185.04539489746094
global_step=169000, episodic_return=-159.22247314453125
SPS: 596
global_step=170000, episodic_return=47.13005065917969
global_step=171000, episodic_return=-24.95305061340332
global_step=172000, episodic_return=-65.9549789428711
SPS: 599
global_step=173000, episodic_return=-2.341374158859253
global_step=174000, episodic_return=2.513241767883301
SPS: 601
global_step=175000, episodic_return=274.7832946777344
global_step=176000, episodic_return=119.13912963867188
SPS: 604
global_step=177000, episodic_return=225.90753173828125
global_step=178000, episodic_return=378.3682861328125
SPS: 606
